id;name;power;discription;price;categories_id;country
1;Настенный котел Thermex EuroElite F10;10;Max мощность, кВт-10. Режим работы-Отопление/ГВС. Антиблокировка насоса-Да. Габариты (ВхШхГ), мм-742х440х235. Горелка-Инжекторная. Камера сгорания-Закрытая. Контроль пламени-Да. Манометр-Да. Самодиагностика-Да. Термостат защиты от перегрева-Да. Тип теплообменника-медь. Функциональный ЖК дисплей-Да. Гарантия-2 года. Дымоход в комплект не входит.;250555;1;Россия
2;Настенный котел Thermex EuroElite F13;13;Max мощность, кВт-13. Режим работы-Отопление/ГВС. Антиблокировка насоса-Да. Габариты (ВхШхГ), мм-742х440х235. Горелка-Инжекторная. Камера сгорания-Закрытая. Контроль пламени-Да. Манометр-Да. Самодиагностика-Да. Термостат защиты от перегрева-Да. Тип теплообменника-медь. Функциональный ЖК дисплей-Да. Гарантия-2 года. Дымоход в комплект не входит.;250555;1;Россия
3;Настенный котел Thermex EuroElite F16;16;Max мощность, кВт-16. Режим работы-Отопление/ГВС. Антиблокировка насоса-Да. Габариты (ВхШхГ), мм-742х440х235. Горелка-Инжекторная. Камера сгорания-Закрытая. Контроль пламени-Да. Манометр-Да. Самодиагностика-Да. Термостат защиты от перегрева-Да. Тип теплообменника-медь. Функциональный ЖК дисплей-Да. Гарантия-2 года. Дымоход в комплект не входит.;250555;1;Россия
4;Настенный котел Thermex EuroElite F18;18;Max мощность, кВт-18. Режим работы-Отопление/ГВС. Антиблокировка насоса-Да. Габариты (ВхШхГ), мм-742х440х235. Горелка-Инжекторная. Камера сгорания-Закрытая. Контроль пламени-Да. Манометр-Да. Самодиагностика-Да. Термостат защиты от перегрева-Да. Тип теплообменника-медь. Функциональный ЖК дисплей-Да. Гарантия-2 года. Дымоход в комплект не входит.;250555;1;Россия
5;Настенный котел Thermex EuroElite F24;24;Max мощность, кВт-24. Режим работы-Отопление/ГВС. Антиблокировка насоса-Да. Габариты (ВхШхГ), мм-742х440х235. Горелка-Инжекторная. Камера сгорания-Закрытая. Контроль пламени-Да. Манометр-Да. Самодиагностика-Да. Термостат защиты от перегрева-Да. Тип теплообменника-медь. Функциональный ЖК дисплей-Да. Гарантия-2 года. Дымоход в комплект не входит.;250555;1;Россия
6;Настенный котел Thermex EuroElite F28;28;Max мощность, кВт-28. Режим работы-Отопление/ГВС. Антиблокировка насоса-Да. Габариты (ВхШхГ), мм-742х440х340. Горелка-Инжекторная. Камера сгорания-Закрытая. Контроль пламени-Да. Манометр-Да. Самодиагностика-Да. Термостат защиты от перегрева-Да. Тип теплообменника-медь. Функциональный ЖК дисплей-Да. Гарантия-2 года. Дымоход в комплект не входит.;294444;1;Россия
7;Настенный котел Thermex EuroElite F32;32;Max мощность, кВт-32. Режим работы-Отопление/ГВС. Антиблокировка насоса-Да. Габариты (ВхШхГ), мм-742х440х340. Горелка-Инжекторная. Камера сгорания-Закрытая. Контроль пламени-Да. Манометр-Да. Самодиагностика-Да. Термостат защиты от перегрева-Да. Тип теплообменника-медь. Функциональный ЖК дисплей-Да. Гарантия-2 года. Дымоход в комплект не входит.;294444;1;Россия
8;Настенный котел Thermex EuroElite F36;36;Max мощность, кВт-36. Режим работы-Отопление/ГВС. Антиблокировка насоса-Да. Габариты (ВхШхГ), мм-742х440х340. Горелка-Инжекторная. Камера сгорания-Закрытая. Контроль пламени-Да. Манометр-Да. Самодиагностика-Да. Термостат защиты от перегрева-Да. Тип теплообменника-медь. Функциональный ЖК дисплей-Да. Гарантия-2 года. Дымоход в комплект не входит.;311842;1;Россия
9;Настенный котел Thermex EuroElite F40;40;Max мощность, кВт-40. Режим работы-Отопление/ГВС. Антиблокировка насоса-Да. Габариты (ВхШхГ), мм-742х510х340. Горелка-Инжекторная. Камера сгорания-Закрытая. Контроль пламени-Да. Манометр-Да. Самодиагностика-Да. Термостат защиты от перегрева-Да. Тип теплообменника-медь. Функциональный ЖК дисплей-Да. Гарантия-2 года. Дымоход в комплект не входит.;318609;1;Россия
10;Настенный котел Atron H24 ( в комплекте) DemirDokum;24;Max мощность, кВт-24. Режим работы-Отопление/ГВС. Антиблокировка насоса-Да. Габариты (ВхШхГ), мм-700х410х295. Камера сгорания-Закрытая. Контроль пламени-Да. Самодиагностика-Да. Термостат защиты от перегрева-Да. Тип теплообменника-медь. Функциональный ЖК дисплей-Да. Гарантия-2 года. Дымоход в комплекте.;260000;1;Турция
